URL,Fixed
https://github.com/pytorch/pytorch/issues/98852,1
https://github.com/pytorch/pytorch/issues/98850,1
https://github.com/pytorch/pytorch/issues/98979,1
https://github.com/pytorch/pytorch/issues/98978,
https://github.com/pytorch/pytorch/issues/98973,1
https://github.com/pytorch/pytorch/issues/98970,
https://github.com/pytorch/pytorch/issues/95912,1
https://github.com/pytorch/pytorch/issues/98455,1
https://github.com/pytorch/pytorch/issues/98436,1
https://github.com/pytorch/pytorch/issues/99423,1
https://github.com/pytorch/pytorch/issues/99568,1
https://github.com/pytorch/pytorch/issues/99569,1
https://github.com/pytorch/pytorch/issues/99629,1
https://github.com/pytorch/pytorch/issues/99632,1
https://github.com/pytorch/pytorch/issues/99649,
https://github.com/pytorch/pytorch/issues/99686,1
https://github.com/pytorch/pytorch/issues/99686,1
https://github.com/pytorch/pytorch/issues/99689,
https://github.com/pytorch/pytorch/issues/99838,1
https://github.com/pytorch/pytorch/issues/99841,1
https://github.com/pytorch/pytorch/issues/99842,1
https://github.com/pytorch/pytorch/issues/99874,
https://github.com/pytorch/pytorch/issues/100025,1
https://github.com/pytorch/pytorch/issues/100027,1
https://github.com/pytorch/pytorch/issues/100224,1
https://github.com/pytorch/pytorch/issues/100225,1
https://github.com/pytorch/pytorch/issues/100318,1
https://github.com/pytorch/pytorch/issues/100315,1
https://github.com/pytorch/pytorch/issues/100316,
https://github.com/pytorch/pytorch/issues/100343,1
https://github.com/pytorch/pytorch/issues/100344,1
https://github.com/pytorch/pytorch/issues/100466,1
https://github.com/pytorch/pytorch/issues/100670,1
https://github.com/pytorch/pytorch/issues/100753,1
https://github.com/pytorch/pytorch/issues/100775,
https://github.com/pytorch/pytorch/issues/100802,1
https://github.com/pytorch/pytorch/issues/100806,1
https://github.com/pytorch/pytorch/issues/100807,1
https://github.com/pytorch/pytorch/issues/100830,1
https://github.com/pytorch/pytorch/issues/100831,1
https://github.com/pytorch/pytorch/issues/100940,1
https://github.com/pytorch/pytorch/issues/100970,1
https://github.com/pytorch/pytorch/issues/100987,1
https://github.com/pytorch/pytorch/issues/100988,1
https://github.com/pytorch/pytorch/issues/101016,
https://github.com/pytorch/pytorch/issues/101039,
https://github.com/pytorch/pytorch/issues/101204,1
https://github.com/pytorch/pytorch/issues/101211,1
https://github.com/pytorch/pytorch/issues/101216,1
https://github.com/pytorch/pytorch/issues/101340,1
https://github.com/pytorch/pytorch/issues/101368,1
https://github.com/pytorch/pytorch/issues/101371,1
https://github.com/pytorch/pytorch/issues/101374,1
https://github.com/pytorch/pytorch/issues/101695,1
https://github.com/pytorch/pytorch/issues/102590,1
https://github.com/pytorch/pytorch/issues/104020,
https://github.com/pytorch/pytorch/issues/105190,1
https://github.com/pytorch/pytorch/issues/109925,1
https://github.com/pytorch/pytorch/issues/94775,1
https://github.com/pytorch/pytorch/issues/94831,1
https://github.com/pytorch/pytorch/issues/94830,1
https://github.com/pytorch/pytorch/issues/94773,
https://github.com/tensorflow/tensorflow/issues/60892,
https://github.com/tensorflow/tensorflow/issues/60925,
https://github.com/tensorflow/tensorflow/issues/60929,
https://github.com/tensorflow/tensorflow/issues/61150,
https://github.com/tensorflow/tensorflow/issues/61886,
https://github.com/tensorflow/tensorflow/issues/61899,
https://github.com/tensorflow/tensorflow/issues/61967,
https://github.com/tensorflow/tensorflow/issues/61968,
https://github.com/tensorflow/tensorflow/issues/61856,
https://github.com/tensorflow/tensorflow/issues/61862,
https://github.com/tensorflow/tensorflow/issues/61863,
https://github.com/tensorflow/tensorflow/issues/61865,
https://github.com/tensorflow/tensorflow/issues/61879,
https://github.com/tensorflow/tensorflow/issues/61881,
https://github.com/tensorflow/tensorflow/issues/61882,
https://github.com/tensorflow/tensorflow/issues/61884,
https://github.com/tensorflow/tensorflow/issues/61939,
https://github.com/tensorflow/tensorflow/issues/61885,
https://github.com/llvm/llvm-project/issues/69365,
https://github.com/llvm/llvm-project/issues/68544,
